,metadata/Embedding model,metadata/Decoding config,metadata/Date,metadata/Model name,metadata/Dataset name,I(text -> summary),H(summary),H(summary|text),I(summary -> text),H(text),H(test|summary),mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/l2,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/l1,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/dot,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/kl,cardiffnlp_tweet-topic-21-multi/l2,cardiffnlp_tweet-topic-21-multi/l1,cardiffnlp_tweet-topic-21-multi/dot,cardiffnlp_tweet-topic-21-multi/kl,SamLowe_roberta-base-go_emotions/l2,SamLowe_roberta-base-go_emotions/l1,SamLowe_roberta-base-go_emotions/dot,SamLowe_roberta-base-go_emotions/kl,wesleyacheng_news-topic-classification-with-bert/l2,wesleyacheng_news-topic-classification-with-bert/l1,wesleyacheng_news-topic-classification-with-bert/dot,wesleyacheng_news-topic-classification-with-bert/kl,wesleyacheng_news-topic-classification-with-bert/proba_of_error
facebook_bart-large-cnn-_-xsum-_-beam_search_long-_-2023-11-04-01-00-51,paraphrase-MiniLM-L6-v2,beam_search_long,2023-11-04-01-00-51,facebook_bart-large-cnn,xsum,60.45028105926515,46.99855570902938,-13.451725350235773,52.65667344665527,34.03374890208356,-18.62292454457171,19.964061546373674,5.0156389652580025,25.896497953278384,19.682755007267,,,,,39.38525515840929,22.280043227678537,913.7331415039064,196.9576653778076,4.61196790177722,3.0823467151150106,18.270595433298872,17.228180509757994,0.2708
facebook_bart-large-cnn-_-arxiv-_-top_p_sampling-_-2023-11-04-00-56-08,paraphrase-MiniLM-L6-v2,top_p_sampling,2023-11-04-00-56-08,facebook_bart-large-cnn,arxiv,51.12766985212053,30.614163998902,-20.513505853218536,50.80684854021724,27.91611587997897,-22.89073266023826,15.906219133101455,4.171007008711744,43.01924262592881,21.464222078219706,,,,,17.52103895172361,14.565376550070248,1161.2451390900226,222.3560725052164,1.9005996879793976,2.201721183518353,28.31468256978515,18.83928319889566,0.0046583850931677
sshleifer_distill-pegasus-cnn-16-4-_-rotten_tomatoes-_-beam_search_long-_-2023-11-03-22-37-33,paraphrase-MiniLM-L6-v2,beam_search_long,2023-11-03-22-37-33,sshleifer_distill-pegasus-cnn-16-4,rotten_tomatoes,98.34135104894642,90.56259618516084,-7.778754863785577,82.4221990997315,67.47248571848986,-14.949713381241631,10.585028376308028,2.9566897665884344,37.49738244359195,19.496633350515367,,,,,29.31009505232421,16.05720733122155,972.416838494873,201.60968686065675,1.732484546952306,1.7074291981842835,3.260001466867956,10.694312913513183,0.2817
google_pegasus-large-_-peer_read-_-beam_search_long-_-2023-11-03-22-56-19,paraphrase-MiniLM-L6-v2,beam_search_long,2023-11-03-22-56-19,google_pegasus-large,peer_read,57.48187093472262,30.87105255860272,-26.61081837611991,48.71482073582641,20.52278186936461,-28.1920388664618,32.44573675444442,6.810662109261259,23.428975565316843,22.00072915546756,,,,,53.54925300153008,25.864233381595085,1020.539660121906,211.70869598855305,2.033123776200446,2.0155224804370597,26.97412551597718,18.127350381973688,0.0067278287461773
sshleifer_distill-pegasus-cnn-16-4-_-peer_read-_-beam_sampling_long-_-2023-11-03-22-11-18,paraphrase-MiniLM-L6-v2,beam_sampling_long,2023-11-03-22-11-18,sshleifer_distill-pegasus-cnn-16-4,peer_read,65.050640150531,37.38201033832665,-27.66862981220434,48.92006264782827,20.52600469360128,-28.394057954226987,31.822944979131968,6.658333806743681,24.59122757003942,22.3367637672191,,,,,67.20424508570898,29.2308276902645,1026.4248422045227,219.584874555022,3.209659591306924,2.762225646892454,25.584360115389572,17.57283289556474,0.0073394495412844
sshleifer_distill-pegasus-cnn-16-4_peer_read_top_p_sampling_2023-10-31-01-25-21,,,,,,,,,,,,32.11683942411688,6.69761594535743,24.522189237109018,22.415863210345627,,,,,66.42460904660945,29.07404659093337,1026.5572601598335,219.0068006416344,2.955936330334719,2.666365468274198,25.9831483580286,17.761226368242085,0.0042813455657492
facebook_bart-large-cnn-_-peer_read-_-top_p_sampling-_-2023-11-04-00-30-36,paraphrase-MiniLM-L6-v2,top_p_sampling,2023-11-04-00-30-36,facebook_bart-large-cnn,peer_read,52.270818699827984,24.3016485118412,-27.969170187986784,49.24783368125239,20.52821004125156,-28.71962364000084,24.468638607965108,5.737037194841498,26.2391470978384,20.496331624955577,,,,,52.79382821137617,25.26686149445513,1009.3877634777572,205.457677793357,1.4266179109381,1.853623407309026,27.830661183960213,18.59739785500623,0.000611620795107
google_pegasus-arxiv-_-rotten_tomatoes-_-top_p_sampling-_-2023-11-04-01-09-51,paraphrase-MiniLM-L6-v2,top_p_sampling,2023-11-04-01-09-51,google_pegasus-arxiv,rotten_tomatoes,62.39486311025622,56.7339687963974,-5.66089431385882,56.48595022048955,67.52568202509997,11.03973180461042,29.43134055191694,6.040873415997624,34.65115069441795,24.85760357632637,90.61241594567,27.779679199552536,295.95515665283204,108.37386179962158,97.54202145174742,35.478623972702025,1022.8334653564452,252.6922144165039,21.2135487955844,7.282614219266176,3.050832821377553,21.39815233078003,0.6745
sshleifer_distill-pegasus-cnn-16-4-_-arxiv-_-beam_search_short-_-2023-11-03-22-42-33,paraphrase-MiniLM-L6-v2,beam_search_short,2023-11-03-22-42-33,sshleifer_distill-pegasus-cnn-16-4,arxiv,152.23888358832892,151.66442558762063,-0.5744580007082837,41.09176358998933,27.882353650675583,-13.20940993931374,25.49289730447408,5.35577598191011,43.22639173134375,24.977299014529827,,,,,30.48117621937153,21.10573902330043,1159.517927361719,263.7360836597703,18.18982346756673,6.9593689816153566,10.381036001528896,11.967708640809384,0.1625776397515528
google_pegasus-arxiv_peer_read_beam_sampling_longer_2023-11-01-19-34-05,,,,,,,,,,,,37.21988569762748,7.364519029381808,23.014298408913685,23.48718875861678,,,,,73.176879765827,30.771075326878726,1056.5409308850583,240.889513432214,1.5835350434369884,1.900010755931565,29.631462537403863,20.03143271058342,0.001223241590214
